Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
108,Mark Williams,24,PHO,C,56,52,23.6,4.7,7.4,.633,0.0,0.0,1.000,4.6,7.3,.633,.635,2.2,2.9,.767,3.1,5.0,8.1,1.0,0.9,0.9,1.1,2.2,11.6,,willima07
109,Jarace Walker,22,IND,PF,73,38,25.6,4.0,9.5,.421,1.7,4.6,.376,2.3,4.9,.465,.513,1.8,2.4,.753,0.6,4.5,5.1,2.4,0.8,0.3,1.8,1.7,11.5,,walkeja02
110,Derik Queen,21,NOP,C,75,45,24.4,4.3,9.0,.475,0.3,1.1,.275,4.0,7.9,.503,.492,2.6,3.3,.787,1.6,5.2,6.8,3.6,0.9,0.9,2.3,2.6,11.4,,queende01
111,Pelle Larsson,24,MIA,SG,66,51,26.4,3.9,7.8,.498,0.9,2.7,.326,3.0,5.1,.589,.554,2.6,3.3,.795,1.0,2.5,3.5,3.4,0.7,0.2,1.4,2.1,11.3,,larsspe01
112,Kyle Filipowski,22,UTA,C,74,38,23.2,4.1,8.2,.498,1.0,2.9,.340,3.1,5.3,.584,.558,2.1,2.8,.750,1.8,5.3,7.1,2.5,1.0,0.5,1.6,2.9,11.3,,filipky01
113,Sandro Mamukelashvili,26,TOR,C,74,13,21.9,4.2,8.0,.524,1.4,3.7,.385,2.8,4.3,.644,.613,1.4,1.9,.743,1.4,3.5,4.9,1.9,0.8,0.6,0.8,1.9,11.2,,mamuksa01
114,Julian Champagnie,24,SAS,SF,76,62,27.6,3.7,8.4,.436,2.4,6.4,.383,1.2,2.0,.604,.582,1.4,1.7,.845,0.9,4.9,5.7,1.5,0.8,0.4,0.9,1.6,11.2,,champju02
115,Rui Hachimura,27,LAL,PF,62,36,28.3,4.4,8.6,.510,1.7,3.9,.436,2.7,4.7,.572,.609,0.7,1.0,.733,0.6,2.6,3.2,0.8,0.5,0.3,0.6,1.6,11.2,,hachiru01
116,Rudy Gobert,33,MIN,C,72,72,31.4,4.5,6.5,.693,0.0,0.1,.000,4.5,6.4,.699,.693,2.2,4.1,.527,3.9,7.5,11.5,1.7,0.8,1.7,1.4,2.6,11.1,,goberru01
117,Cam Spencer,25,MEM,SG,71,19,23.8,3.7,7.8,.472,2.0,4.5,.447,1.6,3.2,.507,.603,1.8,1.9,.940,0.6,2.0,2.6,5.5,0.7,0.2,1.3,1.4,11.1,,spencca01
